公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
安心食品服務股份有限公司,23928945,台北市信義區松智路17號B2(微風南山B2),A-123928945-01335-2,餐飲場所
東客股份有限公司,23930301,台北市信義區松智路17號2樓,A-123930301-00042-5,餐飲場所
東客股份有限公司,23930301,台北市信義區松高路12號B2,A-123930301-00052-6,餐飲場所
東客股份有限公司,23930301,台北市信義區松壽路11號B2,A-123930301-00062-7,餐飲場所
台灣三色旗股份有限公司,23932791,台北市信義區松高路12號2樓,A-123932791-00002-6,餐飲場所
星期五股份有限公司,23932928,台北市信義區忠孝東路5段8號2樓,A-123932928-00014-1,餐飲場所
鮮沛股份有限公司,24465056,台北市信義區市府路45號B1,A-124465056-00044-8,餐飲場所
三井餐飲事業有限公司,24477481,台北市信義區松智路1號,A-124477481-00001-6,餐飲場所
長沂國際實業股份有限公司,24483673,台北市信義區永吉路30巷97號,A-124483673-00017-3,餐飲場所
長沂國際實業股份有限公司,24483673,台北市信義區忠孝東路5段165巷5號,A-124483673-00018-4,餐飲場所
長沂國際實業股份有限公司,24483673,台北市信義區吳興街277號,A-124483673-00019-5,餐飲場所
長沂國際實業股份有限公司,24483673,台北市信義區中坡南路20號,A-124483673-00158-9,餐飲場所
吳寶春食品股份有限公司,24515008,台北市信義區信義路五段124、126號1F,A-124515008-00005-8,餐飲場所
吳寶春食品股份有限公司,24515008,台北市信義區松仁路58號B3,A-124515008-00042-9,餐飲場所
常聚餐飲股份有限公司,24537214,台北市信義區信義路五段16號地下樓,A-124537214-00002-8,餐飲場所
無敵水餃食品行,26246922,台北市信義區虎林街164巷3號,A-126246922-00001-2,餐飲場所
亞米克複合式餐飲,26256478,台北市信義區虎林街44之1號1樓,A-126256478-00001-9,餐飲場所
瓦耐餐坊,26361577,台北市信義區基隆路1段396號及396之1號,A-126361577-00001-6,餐飲場所
蟬吃茶商行,26361844,台北市信義區吳興街30號,A-126361844-00002-4,餐飲場所
旭承食品行,26533987,台北市信義區市府路45號B1-08櫃,A-126533987-00001-2,餐飲場所
WA! 瓦泰咖哩,,台北市信義區崇德街73號,A-200199754-00001-5,餐飲場所
彭記傳統美食店,10367532,台北市信義區永吉路30巷177弄1號1樓,A-200199919-00001-8,餐飲場所
如軒店,42271074,台北市信義區忠孝東路5段524巷5弄2號,A-200200044-00001-0,餐飲場所
炒翻天炒飯炒麵,,台北市信義區松山路540巷12號1樓,A-200221952-00001-1,餐飲場所
炒翻天炒飯炒麵,,台北市信義區松山路541巷28號旁,A-200221952-00002-2,餐飲場所
口力口非商行,42416819,台北市信義區嘉興街11-1號,A-200222203-00001-1,餐飲場所
饌前輕食,,台北市信義區嘉興街260號,A-200222307-00001-6,餐飲場所
池上米之鄉美食店,13475541,台北市信義區和平東路3段295號,A-200222559-00001-5,餐飲場所
池上何家米之鄉美食店,88157646,台北市信義區松仁路225號,A-200222560-00001-7,餐飲場所
林格商行,88220752,台北市信義區忠孝東路4段559巷14號,A-200222613-00001-6,餐飲場所
長紅麵線,,台北市信義區虎林街82巷68號,A-200222836-00001-3,餐飲場所
麵匠坐坊,31951406,台北市信義區忠孝東路4段553巷6弄12號,A-200223133-00001-4,餐飲場所
竹記食堂,88188021,台北市信義區虎林街163號1樓,A-200223138-00001-9,餐飲場所
有點咖啡,76436784,台北市信義區吳興街284巷8號,A-200223182-00001-8,餐飲場所
采紫丹有限公司,90266727,台北市信義區莊敬路318號,A-200223198-00001-5,餐飲場所
營業名稱：天下麵食館,,台北市信義區松仁路240巷20之1號1樓,A-200223207-00001-6,餐飲場所
怩怩飲品店,88228543,台北市信義區虎林街60巷1號,A-200223331-00001-4,餐飲場所
旬味餐飲股份有限公司,90146110,台北市信義區文昌街318號1樓,A-200223386-00001-4,餐飲場所
大熊飽店,,台北市信義區林口街80巷41號2樓,A-200223550-00001-7,餐飲場所
小飯桌股份有限公司,90531514,台北市信義區松山路11號,A-200223610-00006-9,餐飲場所
小飯桌股份有限公司,90531514,台北市信義區忠孝東路五段8號B2,A-200223610-00023-8,餐飲場所
小飯桌股份有限公司,90531514,台北市信義區忠孝東路五段6號1樓,A-200223610-00024-9,餐飲場所
小飯桌股份有限公司,90531514,台北市信義區市府路1號B1,A-200223610-00026-1,餐飲場所
松山小吃店,25614624,台北市信義區永吉里松山路１７９號,A-200223791-00001-4,餐飲場所
白眼找茶商行,88137446,台北市信義區虎林街56巷2號1樓,A-200224089-00001-5,餐飲場所
玖壹企業社,75960521,台北市信義區四育里永吉路４２９號,A-200224122-00001-3,餐飲場所
紅翔快餐店,81718003,台北市信義區三張里莊敬路３４１巷９號１樓,A-200224142-00001-5,餐飲場所
瑰夏咖啡,88089319,台北市信義區忠孝東路五段372巷27弄1號1樓,A-200235821-00001-1,餐飲場所
鑫想事成企業社,88284930,台北市信義區崇德街105號1樓,A-200235844-00001-6,餐飲場所
三個皮卡企業社,88138661,台北市信義區林口街16號1樓,A-200236197-00001-8,餐飲場所
波波草早午餐,,台北市信義區虎林街60巷2號1樓,A-200236531-00001-0,餐飲場所
睿婧工作室,88291881,台北市信義區忠孝東路4段559巷12號,A-200237028-00001-2,餐飲場所
樂芫企業社,93184469,台北市信義區富陽街40號,A-193184469-00001-3,餐飲場所
羅記咖哩店,93184502,台北市信義區基隆路2段39巷10號1樓,A-193184502-00001-1,餐飲場所
京軒小吃店,93185777,台北市信義區光復南路473巷29號,A-193185777-00001-6,餐飲場所
箴乃美食坊,93187389,台北市信義區吳興街71號,A-193187389-00001-7,餐飲場所
必哈咖啡,93189669,台北市信義區虎林街120巷172號1樓,A-193189669-00001-0,餐飲場所
未知星體咖啡廳,93190119,台北市信義區林口街64之4號1樓,A-193190119-00001-2,餐飲場所
醬波滷味,93190286,台北市信義區莊敬路417號,A-193190286-00001-7,餐飲場所
老漿豆漿店,93191243,台北市信義區忠孝東路5段390號1樓,A-193191243-00001-1,餐飲場所
祈麟商行,93191567,台北市信義區吳興街269巷22號1樓,A-193191567-00001-0,餐飲場所
釜山焰食府商行,93192876,台北市信義區信義路4段450巷5號,A-193192876-00001-4,餐飲場所
